gene,base_mean,log2fc,pvalue
G6861,145.87,0.172,0.626
G6862,46.57,-0.696,0.126
G6863,167.69,-0.261,0.447
G6864,48.45,0.011,0.98
G6865,80.79,0.451,0.257
G6866,59.89,-0.424,0.32
G6867,36.44,-0.332,0.494
G6868,61.12,0.357,0.401
G6869,169.38,-0.111,0.746
G6870,206.79,0.232,0.484
G6871,231.06,0.236,0.468
G6872,295.96,-0.817,0.00905
G6873,22.54,0.564,0.311
G6874,65.7,0.628,0.132
G6875,223.39,0.265,0.418
G6876,51.04,-0.512,0.249
G6877,116.4,-0.181,0.623
G6878,1533.48,-0.427,0.102
G6879,956.2,-0.397,0.144
G6880,43.59,-0.443,0.338
G6881,35.38,-0.391,0.424
G6882,29.23,-0.537,0.298
G6883,68.14,0.695,0.0931
G6884,29.78,-0.397,0.439
G6885,745.59,0.17,0.542
G6886,37.38,0.341,0.479
G6887,67.32,0.385,0.354
G6888,5.37,-0.307,0.736
G6889,407.35,-0.244,0.415
G6890,58.7,-0.062,0.885
G6891,338.93,-0.579,0.0592
G6892,173.42,-0.029,0.932
G6893,19.19,0.459,0.433
G6894,6.03,-1.139,0.191
G6895,165.97,-0.386,0.262
G6896,11.89,1.058,0.122
G6897,12.71,-0.894,0.181
G6898,20.85,-0.709,0.214
G6899,133.08,0.427,0.234
G6900,89.46,1.46,0.000176
G6901,20.25,0.322,0.576
G6902,59.58,0.234,0.584
G6903,11.92,-0.455,0.506
G6904,15.23,-0.574,0.362
G6905,61.28,0.511,0.229
G6906,20.18,-0.103,0.858
G6907,58.03,-0.361,0.401
G6908,64.73,0.139,0.74
G6909,256.97,-0.087,0.786
G6910,162.63,-0.01,0.977
G6911,14.32,0.77,0.231
G6912,9.56,1.744,0.018
G6913,37.75,-0.163,0.734
G6914,11.58,0.311,0.652
G6915,33.15,0.207,0.678
G6916,719.85,-0.036,0.898
G6917,393.82,-0.286,0.341
G6918,9.59,0.095,0.897
G6919,36.18,-0.064,0.895
G6920,3.8,0.112,0.914
G6921,161.51,-0.555,0.109
G6922,7.63,0.43,0.591
G6923,124.79,0.235,0.518
G6924,18.62,-0.184,0.755
G6925,7.75,-1.186,0.136
G6926,53.64,0.078,0.859
G6927,338.67,-2.422,1e-12
G6928,8.01,0.222,0.777
G6929,211.24,-0.344,0.297
G6930,239.35,0.17,0.599
G6931,25.36,-0.089,0.869
G6932,140.86,-0.12,0.735
G6933,1.67,1.093,0.453
G6934,116.31,0.058,0.875
G6935,41.4,-0.446,0.341
G6936,227.34,-0.14,0.668
G6937,221.42,0.095,0.772
G6938,289.09,-0.163,0.604
G6939,354.58,0.012,0.969
G6940,143.51,-0.485,0.17
G6941,76.34,-0.122,0.762
G6942,2.97,-0.845,0.462
G6943,20.38,-1.519,0.00818
G6944,14.38,0.323,0.615
G6945,7.4,0.114,0.888
G6946,92.05,-1.022,0.00823
G6947,190.64,0.11,0.743
G6948,19.15,0.101,0.863
G6949,18.62,-0.921,0.119
G6950,184.51,-0.207,0.54
G6951,351.66,0.14,0.647
G6952,4.1,-0.921,0.362
G6953,12.34,0.01,0.988
G6954,19.28,1.3,0.0261
G6955,1079.04,-0.197,0.463
G6956,60.96,0.12,0.778
G6957,49.99,-0.167,0.708
G6958,75.73,0.463,0.252
G6959,0.84,-1.667,0.396
G6960,70.79,0.017,0.967
G6961,233.73,0.189,0.56
G6962,0.67,2.839,0.192
G6963,160.93,-0.264,0.446
G6964,18.1,-0.649,0.276
G6965,2.77,1.11,0.347
G6966,24.22,-0.196,0.719
G6967,614.13,-0.051,0.858
G6968,26.31,0.614,0.248
G6969,256.93,-0.344,0.282
G6970,93.79,-0.013,0.973
G6971,7.18,-0.632,0.439
G6972,537.49,-0.382,0.186
G6973,100.7,0.1,0.792
G6974,78.38,-0.45,0.261
G6975,35.62,-0.845,0.0834
G6976,28.33,-0.452,0.385
G6977,3.33,-1.616,0.141
G6978,8.2,-2.192,0.00488
G6979,81.87,0.586,0.14
G6980,786.12,1.321,1.86e-06
G6981,7.56,-0.043,0.957
G6982,11.02,-0.193,0.783
G6983,62.5,-0.351,0.406
G6984,4.24,-0.811,0.416
G6985,119.22,-0.184,0.616
G6986,3.91,0.729,0.479
G6987,63.96,-0.345,0.411
G6988,273.51,-0.141,0.656
G6989,27.96,-0.361,0.49
G6990,13.39,-1.807,0.00597
G6991,190.04,0.207,0.538
G6992,322.26,0.366,0.236
G6993,267.38,0.233,0.464
G6994,42.57,-0.393,0.398
G6995,179,0.104,0.759
G6996,30.81,0.18,0.723
G6997,1105.18,0.278,0.3
G6998,216.32,0.217,0.509
G6999,13.02,-0.487,0.463
G7000,54.2,-0.223,0.61
G7001,5.96,0.552,0.528
G7002,26.17,0.251,0.638
G7003,138.09,0.35,0.326
G7004,84.58,3.621,1e-12
G7005,3.82,-1.37,0.187
G7006,25.55,0.219,0.683
G7007,17.87,0.042,0.944
G7008,870.53,0.189,0.491
G7009,720.27,-0.078,0.78
G7010,32.08,2.671,1.06e-07
G7011,119.84,0.123,0.737
G7012,10.82,1.124,0.112
G7013,1.79,1.331,0.347
G7014,192.74,0.437,0.192
G7015,128.67,-0.174,0.63
G7016,20.36,0.527,0.359
G7017,487.12,-0.255,0.383
G7018,1024.97,-0.002,0.994
G7019,174.65,-0.063,0.853
G7020,239.52,-0.246,0.447
G7021,54.3,-0.197,0.652
G7022,212.21,-0.351,0.287
G7023,30.19,-0.042,0.935
G7024,8.89,-1.042,0.168
G7025,165.66,-0.202,0.557
G7026,4248.72,-0.048,0.844
G7027,7.8,-0.11,0.89
G7028,7.54,-0.44,0.584
G7029,346.46,0.318,0.299
G7030,168.19,-0.03,0.93
G7031,869.38,0.404,0.141
G7032,86.59,-0.403,0.304
G7033,132.15,-0.02,0.956
G7034,158.44,-0.238,0.493
G7035,651.49,-0.27,0.34
G7036,159.23,0.23,0.507
G7037,73.47,-0.59,0.147
G7038,176.08,-0.116,0.733
G7039,71.76,-0.501,0.22
G7040,75.24,-0.942,0.0199
G7041,43.32,-0.635,0.17
G7042,44.5,-0.012,0.979
G7043,50.88,0.11,0.804
G7044,186,-0.043,0.899
G7045,60.16,0.144,0.736
G7046,20.12,-0.395,0.493
G7047,667.91,-0.066,0.815
G7048,7.31,-0.666,0.412
G7049,30.2,0.125,0.807
G7050,220.93,0.145,0.658
G7051,71.8,0.007,0.986
G7052,57.81,-0.526,0.222
G7053,638.65,0.073,0.797
G7054,13.65,0.07,0.915
G7055,300.71,-0.545,0.0809
G7056,10.91,0.509,0.47
G7057,26.58,-0.143,0.787
G7058,67,0.008,0.985
G7059,5.12,1.677,0.0705
G7060,64.7,0.254,0.544
G7061,14.92,0.446,0.482
G7062,47.24,0.293,0.518
G7063,4.23,-0.221,0.825
G7064,477.6,0.478,0.103
G7065,137.73,-0.396,0.266
G7066,49.22,0.081,0.857
G7067,15.06,-0.66,0.297
G7068,14.15,-2.166,0.00079
G7069,349.96,-0.183,0.549
G7070,91.22,0.093,0.81
G7071,836.94,-0.041,0.882
G7072,147.23,0.021,0.952
G7073,165.91,-0.011,0.975
G7074,124.19,0.382,0.293
G7075,283.59,0.243,0.44
G7076,29.46,0.382,0.458
G7077,3.07,1.197,0.291
G7078,3789.31,-0.03,0.903
G7079,4.23,0.871,0.383
G7080,698.02,1.971,2.14e-12
G7081,995.33,0.236,0.383
G7082,3134.77,-0.71,0.00429
G7083,361.55,-0.185,0.543
G7084,48.76,0.444,0.323
G7085,0.31,2.418,0.33
G7086,3.75,0.751,0.473
G7087,401.7,0.032,0.915
G7088,474.78,-0.234,0.425
G7089,69.89,-0.438,0.287
G7090,154.02,-0.297,0.395
G7091,115.75,-0.285,0.44
G7092,670.69,-0.082,0.771
G7093,7.11,0.468,0.568
G7094,147.17,0.489,0.165
G7095,1122.16,-0.161,0.548
G7096,10.93,-0.287,0.683
G7097,4.39,-1.468,0.136
G7098,1.26,1.72,0.296
G7099,14.49,-0.29,0.651
G7100,740.49,0.224,0.422
G7101,20.55,1.124,0.0498
G7102,59.43,-0.726,0.0895
G7103,827.96,-0.177,0.521
G7104,2.24,2.853,0.0269
G7105,108.98,0.319,0.393
G7106,85.87,-0.006,0.988
G7107,203.31,0.01,0.976
G7108,551.05,-0.347,0.229
G7109,136.65,0.559,0.117
G7110,416.68,0.085,0.776
G7111,15.92,0.194,0.755
G7112,196.41,-0.055,0.869
G7113,6.27,0.379,0.659
G7114,26.04,-0.194,0.716
G7115,9.68,0.518,0.481
G7116,13.89,-0.26,0.689
G7117,36.24,0.341,0.483
G7118,89.73,0.52,0.181
G7119,9.71,0.311,0.672
G7120,63.78,0.192,0.648
G7121,29.11,-0.391,0.449
G7122,6.56,-0.005,0.995
G7123,7.68,0.163,0.838
G7124,6.59,-1.597,0.0582
G7125,15.17,-0.143,0.821
G7126,25.97,-0.372,0.486
G7127,31.58,0.17,0.736
G7128,890.16,-0.26,0.342
G7129,34.34,0.181,0.714
G7130,24.37,-0.144,0.791
G7131,131.86,-0.177,0.622
G7132,2.25,-3.35,0.00922
G7133,11.58,5.356,1e-12
G7134,118.4,0.327,0.373
G7135,19.26,1.249,0.0326
G7136,401.94,-0.393,0.19
G7137,372.16,-0.296,0.329
G7138,52.86,0.086,0.845
G7139,61.96,-0.015,0.972
G7140,12.73,-0.337,0.614
G7141,17.73,-0.261,0.664
G7142,448.72,-0.066,0.823
G7143,129.1,0.138,0.702
G7144,49.78,-0.61,0.172
G7145,99.02,-0.201,0.598
G7146,4.02,1.721,0.0909
G7147,38.42,0.134,0.779
G7148,22.29,1.368,0.0144
G7149,18.3,0.601,0.312
G7150,30.62,-0.532,0.296
G7151,12.42,-1.059,0.116
G7152,240.31,-0.225,0.486
G7153,46.18,-0.091,0.842
G7154,134.76,0.185,0.605
G7155,189.85,0.626,0.0625
G7156,37.06,0.223,0.644
G7157,16.1,0.081,0.896
G7158,16.55,-0.397,0.517
G7159,1084.78,0.767,0.00429
G7160,23.72,0.351,0.522
G7161,25.59,0.078,0.884
G7162,583.72,-0.056,0.845
G7163,56.56,-0.316,0.465
G7164,253.23,0.523,0.103
G7165,53.58,0.306,0.485
G7166,74.57,0.069,0.865
G7167,581.87,0.008,0.978
G7168,27.13,-0.011,0.983
G7169,159.96,0.197,0.57
G7170,40.09,-0.127,0.788
G7171,30.67,0.553,0.277
G7172,15.56,-0.004,0.995
G7173,469.58,-0.19,0.518
G7174,684.09,-0.109,0.698
G7175,380.86,0.113,0.708
G7176,157.71,-0.055,0.874
G7177,86.45,-0.215,0.583
G7178,50.17,-0.267,0.549
G7179,9.98,-0.212,0.77
G7180,18.74,-1.446,0.0142
G7181,50.17,-0.109,0.807
G7182,1052.04,0.049,0.856
G7183,23.53,-0.492,0.371
G7184,56.87,0.232,0.591
G7185,87.73,0.012,0.976
G7186,251.76,0.093,0.772
G7187,37.7,0.202,0.674
G7188,32.18,-0.021,0.967
G7189,35.95,0.321,0.51
G7190,186.28,-0.368,0.275
G7191,32.63,-0.192,0.701
G7192,999.84,0.211,0.436
G7193,4.42,0.597,0.543
G7194,123,-0.379,0.298
G7195,173.53,-0.833,0.0147
G7196,212.98,-0.297,0.368
G7197,2.53,1.48,0.227
G7198,1.4,-1.761,0.263
G7199,6.37,-1.014,0.235
G7200,18.6,1.998,0.000723
G7201,255.07,-0.074,0.817
G7202,230.25,-0.137,0.674
G7203,2.55,0.613,0.616
G7204,17.59,1.253,0.0372
G7205,201.06,0.12,0.718
G7206,212.01,-0.326,0.323
G7207,1454.56,-0.195,0.457
G7208,25.96,-2.359,9.99e-06
G7209,155.35,-0.043,0.902
G7210,307.15,0.092,0.768
G7211,3.78,0.839,0.421
G7212,543.49,-0.264,0.36
G7213,65.42,-0.348,0.405
G7214,118.51,-0.054,0.883
G7215,39.95,0.267,0.573
G7216,127.89,-0.09,0.803
G7217,74.97,-0.35,0.387
G7218,11.62,-1.023,0.138
G7219,116.88,-0.353,0.337
G7220,200.76,1.358,4.52e-05
G7221,45.07,0.128,0.78
G7222,33.93,0.542,0.273
G7223,33.49,-0.08,0.872
G7224,14.14,0.601,0.352
G7225,6.37,-0.901,0.291
G7226,8.05,-0.646,0.41
G7227,45.79,0.197,0.666
G7228,38.53,0.382,0.424
G7229,14.72,-0.037,0.954
G7230,240.67,-0.16,0.62
G7231,91.93,0.047,0.903
G7232,52.04,0.579,0.19
G7233,89.68,-0.485,0.212
G7234,6.01,0.166,0.849
G7235,6.64,-1.341,0.111
G7236,173.99,-0.377,0.269
G7237,5.46,-1.81,0.0454
G7238,12.8,0.069,0.918
G7239,56.51,0.453,0.295
G7240,18,0.141,0.813
G7241,19.71,0.288,0.62
G7242,105.82,-0.506,0.178
G7243,29.89,-0.326,0.525
G7244,47.05,-0.47,0.3
G7245,6.65,-0.009,0.991
G7246,299.31,0.326,0.297
G7247,58.34,-0.31,0.47
G7248,240.35,2.261,2.64e-12
G7249,188.41,0.059,0.861
G7250,54.71,-0.595,0.173
G7251,44.59,-0.414,0.368
G7252,13.54,0.714,0.276
G7253,92.66,0.184,0.634
G7254,329.65,-2.368,1e-12
G7255,4.12,-0.453,0.653
G7256,233.97,-0.514,0.113
G7257,121,0.852,0.0197
G7258,14.65,0.863,0.176
G7259,29.07,0.04,0.938
G7260,763.02,0.028,0.92
G7261,5.2,1.072,0.245
G7262,29.81,0.123,0.811
G7263,388.12,-0.34,0.259
G7264,29.95,-0.082,0.873
G7265,567.89,0.154,0.592
G7266,5.22,-0.961,0.296
G7267,7.96,-0.246,0.755
G7268,15.72,-0.33,0.597
G7269,16.67,0.104,0.865
G7270,45.17,0.156,0.733
G7271,34.21,0.729,0.14
G7272,6.17,0.942,0.276
G7273,43.87,-0.069,0.881
G7274,446.35,0.211,0.476
G7275,394.57,0.431,0.152
G7276,4.93,-1.14,0.226
G7277,561.42,0.054,0.851
G7278,16.36,-0.155,0.801
G7279,42.47,-0.156,0.738
G7280,392.25,0.053,0.86
G7281,479.87,-0.613,0.0365
G7282,11.34,0.012,0.986
G7283,10.82,-1.316,0.0625
G7284,903.86,0.209,0.444
G7285,227.6,0.102,0.754
G7286,379.19,-0.023,0.939
G7287,62.09,0.055,0.897
G7288,13.39,0.712,0.279
G7289,144.71,-0.238,0.5
G7290,8.72,-0.012,0.987
G7291,195.76,-0.627,0.0608
G7292,29.08,0.812,0.116
G7293,6.01,-1.776,0.0418
G7294,112.89,0.331,0.372
G7295,82.82,-0.129,0.744
G7296,82.49,0.01,0.98
G7297,689.62,0.208,0.459
G7298,59.91,0.084,0.844
G7299,113.58,0.216,0.56
G7300,9.08,0.131,0.862
G7301,2273.31,0.159,0.531
G7302,14.4,-1.346,0.0359
G7303,39.34,-0.944,0.0469
G7304,30.63,0.274,0.59
G7305,97.84,-0.302,0.429
G7306,42.07,-0.167,0.72
G7307,200.44,0.923,0.00558
G7308,150.13,0.492,0.161
G7309,178.06,-0.17,0.617
G7310,12.05,-0.8,0.24
G7311,93.1,-0.174,0.652
G7312,650.41,-0.061,0.829
G7313,225.96,-2.438,1e-12
G7314,218.06,-0.203,0.536
G7315,42.38,0.206,0.658
G7316,172.23,-0.326,0.34
G7317,45.19,-1.224,0.00753
G7318,198.06,-0.791,0.0178
G7319,5.59,-0.4,0.656
G7320,60.84,0.851,0.0453
G7321,4.29,0.94,0.344
G7322,152.47,-0.279,0.425
G7323,40.23,0.472,0.318
G7324,12.51,-0.182,0.787
G7325,93.38,-0.193,0.617
G7326,73.12,0.267,0.512
G7327,43.17,-0.328,0.479
G7328,13.75,-1.471,0.024
G7329,619.47,0.306,0.282
G7330,245.97,-0.486,0.131
G7331,148.91,-0.033,0.925
G7332,29.54,-0.805,0.118
G7333,58.42,-0.123,0.775
G7334,296.86,0.343,0.273
G7335,101.52,0.681,0.0722
G7336,4.57,-1.85,0.0561
G7337,2.96,-1.95,0.0899
G7338,95.04,-0.327,0.395
G7339,108.92,-0.266,0.476
G7340,37.37,-0.334,0.488
G7341,73.77,-0.209,0.607
G7342,25.38,0.258,0.631
G7343,29.44,0.356,0.489
G7344,7.04,-1.016,0.217
G7345,295.46,-0.329,0.293
G7346,140.36,-0.219,0.537
G7347,91.07,-1.357,0.000464
G7348,57.05,-0.226,0.601
G7349,25.56,-0.597,0.266
G7350,5.63,0.42,0.639
G7351,13.41,0.37,0.573
G7352,18.08,-1.105,0.0639
G7353,118,-0.219,0.551
G7354,60.96,0.511,0.229
G7355,13.99,-0.211,0.745
G7356,19.95,-0.595,0.303
G7357,583.73,0.101,0.724
G7358,94,-0.504,0.191
G7359,997.41,0.001,0.997
G7360,210.39,-0.212,0.521
G7361,13.65,-0.347,0.595
G7362,87.81,-0.486,0.214
G7363,81.12,0.674,0.0901
G7364,111.73,-0.075,0.84
G7365,75.22,-1.986,9.11e-07
G7366,192.01,1.651,8.59e-07
G7367,69.23,0.715,0.0829
G7368,492.8,0.004,0.989
G7369,63.18,0.702,0.0957
G7370,217.65,-0.017,0.959
G7371,208.13,-0.267,0.42
G7372,56.86,0.206,0.634
G7373,213.55,-0.048,0.884
G7374,65.78,0.034,0.935
G7375,559.47,-0.371,0.197
G7376,261.57,-0.051,0.873
G7377,303.05,0.18,0.564
G7378,166.12,0.026,0.94
G7379,3.21,-1.279,0.251
G7380,181.18,0.812,0.0166
G7381,616.34,0.213,0.454
G7382,22.36,0.029,0.959
G7383,7.48,-0.76,0.345
G7384,63.4,0.019,0.964
G7385,13.81,0.94,0.148
G7386,357.64,-0.431,0.157
G7387,62.4,-0.297,0.482
G7388,14.24,1.506,0.0194
G7389,50.32,0.264,0.554
G7390,23.22,-0.431,0.435
G7391,292.56,0.481,0.125
G7392,8.35,1.003,0.195
G7393,35.66,-0.045,0.927
G7394,28.52,0.638,0.219
G7395,5.35,-0.62,0.496
G7396,22.85,0.346,0.533
G7397,37.85,-0.018,0.97
G7398,2.37,0.503,0.69
G7399,6.18,-0.217,0.802
G7400,59.19,-0.212,0.62
G7401,29.2,-0.584,0.258
G7402,2.77,-0.438,0.711
G7403,11.41,-0.208,0.764
G7404,1.51,-2.159,0.156
G7405,20.83,0.534,0.349
G7406,84.29,0.467,0.236
G7407,170.85,-0.02,0.953
G7408,194.15,0.165,0.622
G7409,154.85,-0.448,0.199
G7410,18.2,-0.1,0.867
G7411,26.39,0.494,0.353
G7412,179.65,0.565,0.0959
G7413,27.38,-0.67,0.203
G7414,162.67,-0.183,0.596
G7415,44.13,-0.145,0.753
G7416,1824.32,-0.119,0.644
G7417,141.93,-0.511,0.149
G7418,25.39,-0.835,0.12
G7419,56.61,-0.419,0.333
G7420,2.5,-0.201,0.87
G7421,38.62,-0.181,0.705
G7422,99.44,-0.376,0.323
G7423,104.46,0.583,0.122
G7424,554.76,0.08,0.781
G7425,4.82,0.543,0.567
G7426,10.86,0.563,0.425
G7427,15.39,0.368,0.558
G7428,10.96,-1.128,0.109
G7429,93.43,-0.349,0.365
G7430,18.13,-0.324,0.587
G7431,35.24,-0.609,0.213
G7432,11.23,0.618,0.376
G7433,233.47,0.462,0.155
G7434,104.48,0.436,0.247
G7435,16.85,-0.433,0.478
G7436,81.3,-0.373,0.348
G7437,68.16,-0.694,0.0935
G7438,22.95,0.095,0.864
G7439,569.34,-0.189,0.51
G7440,24.64,0.27,0.619
G7441,84.49,-0.762,0.0532
G7442,703.59,-0.532,0.0577
G7443,27.36,0.938,0.0745
G7444,6.12,1.318,0.128
G7445,153.82,0.255,0.465
G7446,37.93,0.665,0.166
G7447,136.06,-0.263,0.462
G7448,38.95,-0.95,0.0461
G7449,5.63,0.616,0.491
G7450,214.2,0.418,0.204
G7451,148.96,0.42,0.232
G7452,35.98,-0.155,0.75
G7453,46.75,-0.192,0.672
G7454,352.23,0.458,0.134
G7455,59.17,0.231,0.589
G7456,34.86,0.35,0.476
G7457,5.43,0.217,0.811
G7458,402.27,0.149,0.619
G7459,718.21,0.262,0.349
G7460,197.09,-0.201,0.547
G7461,27.6,-0.38,0.469
G7462,339.09,-0.119,0.698
G7463,23.35,0.872,0.114
G7464,215.21,0.359,0.275
G7465,9.78,0.247,0.736
G7466,164.45,0.278,0.42
G7467,49.32,0.05,0.911
G7468,24.09,0.383,0.483
G7469,14.04,-0.171,0.792
G7470,15.32,-0.264,0.675
G7471,71.9,0.235,0.565
G7472,57.51,0.608,0.158
G7473,10.49,0.404,0.572
G7474,11.9,-1.301,0.0571
G7475,40.8,-0.358,0.447
G7476,1019.86,-1.261,3.03e-06
G7477,18.62,0.044,0.941
G7478,626.98,-0.105,0.711
G7479,47.87,0.242,0.592
G7480,52.23,-0.237,0.591
G7481,55.37,-0.909,0.0367
G7482,1.48,0.376,0.807
G7483,123.26,0.234,0.52
G7484,15.29,0.22,0.727
G7485,78.21,-1.056,0.00844
G7486,44.51,-0.431,0.349
G7487,123.35,0.479,0.188
G7488,104.56,-0.377,0.317
G7489,65.61,-0.532,0.203
G7490,7.48,-0.49,0.543
G7491,86.68,0.369,0.346
G7492,342.91,0.132,0.667
G7493,229.77,0.206,0.527
G7494,15.86,0.579,0.352
G7495,140.54,0.092,0.795
G7496,798.08,-0.138,0.618
G7497,37.11,0.391,0.418
G7498,4.74,0.448,0.639
G7499,19.23,-0.253,0.665
G7500,183.88,1.84,5.21e-08
G7501,15.7,-0.811,0.194
G7502,1031.68,0.219,0.417
G7503,25.56,0.535,0.319
G7504,7.36,-1.552,0.0553
G7505,43.49,-0.219,0.636
G7506,18.26,0.265,0.656
G7507,724.22,-0.402,0.15
G7508,16.45,0.697,0.257
G7509,4.72,-0.334,0.727
G7510,64.96,1.953,3.06e-06
G7511,112.35,0.711,0.0553
G7512,156.29,-0.232,0.505
G7513,15.61,0.217,0.728
G7514,4.67,-1.517,0.114
G7515,363.45,0.354,0.244
G7516,25.93,0.214,0.689
G7517,32.29,0.201,0.689
G7518,122.49,-0.705,0.0531
G7519,261.83,1.675,1.5e-07
G7520,48.41,0.363,0.42
G7521,677.91,-0.027,0.924
G7522,5.44,-0.42,0.643
G7523,15.8,0.337,0.588
G7524,4.97,1.121,0.232
G7525,2.79,1.033,0.38
G7526,17.5,0.596,0.323
G7527,112.67,1.422,0.000125
G7528,212.73,0.34,0.302
G7529,149.27,-0.145,0.679
G7530,73.1,-0.912,0.0251
G7531,3258.78,-0.269,0.278
G7532,16.98,-1.466,0.016
G7533,2.41,-1.032,0.409
G7534,14.89,0.57,0.369
G7535,365.32,-0.09,0.767
G7536,584.59,-0.31,0.279
G7537,20.77,-0.806,0.158
G7538,380.24,0.301,0.319
G7539,9.14,-0.972,0.195
G7540,26.28,-1.06,0.0464
G7541,35.43,0.024,0.961
G7542,4.71,1.119,0.242
G7543,9.15,-0.695,0.353
G7544,197.18,0.343,0.304
G7545,3.91,1.624,0.115
G7546,1743.44,-0.217,0.401
G7547,95.02,0.36,0.349
G7548,63.56,-0.265,0.529
G7549,200.01,0.266,0.425
G7550,528.09,-0.404,0.163
G7551,3115.06,0.374,0.133
G7552,4.22,0.374,0.708
G7553,30.04,0.049,0.924
G7554,73.71,-0.313,0.441
G7555,286.54,0.369,0.241
G7556,100.02,-0.065,0.864
G7557,8.17,-0.159,0.838
G7558,452.67,-0.534,0.0705
G7559,2.89,0.38,0.743
G7560,81.55,0.009,0.982
G7561,4679.41,0.499,0.0403
G7562,102.18,0.478,0.206
G7563,100.6,-0.811,0.0326
G7564,18.06,0.644,0.28
G7565,10.28,0.405,0.573
G7566,14,0.069,0.915
G7567,44.97,-0.304,0.507
G7568,56.74,0.684,0.114
G7569,14.67,-0.058,0.928
G7570,1.9,0.991,0.473
G7571,584.78,0.127,0.657
G7572,56.58,0.029,0.947
G7573,461.43,1.472,5.78e-07
G7574,18.56,-0.544,0.358
G7575,1.85,2.99,0.0322
G7576,863.54,-0.09,0.743
G7577,69.65,-0.04,0.923
G7578,41.36,-0.408,0.384
G7579,886.61,-0.005,0.985
G7580,150.82,0.034,0.923
G7581,124.01,-0.086,0.813
G7582,38.85,-0.42,0.378
G7583,38.27,-1.023,0.0326
G7584,1.48,0.456,0.766
G7585,19.81,1.857,0.00135
G7586,35.48,0.738,0.131
G7587,74.64,0.383,0.345
G7588,4.34,0.225,0.82
G7589,859.34,0.339,0.217
G7590,114.85,0.094,0.799
G7591,9526.86,0.103,0.663
G7592,112.33,0.006,0.987
G7593,87.99,-0.359,0.358
G7594,5.2,-1.474,0.11
G7595,363.56,0.471,0.121
G7596,41.94,-0.6,0.199
G7597,201.16,-0.311,0.35
G7598,7.36,-1.493,0.0652
G7599,90.41,1.676,1.58e-05
G7600,13.81,-0.727,0.264
G7601,35.84,-0.141,0.772
G7602,148.77,-0.286,0.415
G7603,4.86,-0.441,0.641
G7604,589.45,-0.219,0.444
G7605,22.08,0.216,0.7
G7606,551.28,0.796,0.00574
G7607,13.33,-0.105,0.873
G7608,9.17,-0.081,0.914
G7609,50.36,-2.07,3.37e-06
G7610,57.34,0.2,0.643
G7611,119.11,-0.412,0.261
G7612,44.84,-0.114,0.804
G7613,79.64,0.117,0.77
G7614,141.44,-0.43,0.225
G7615,34.47,0.193,0.695
G7616,48.97,-0.227,0.613
G7617,278.04,0.421,0.183
G7618,2.62,0.133,0.912
G7619,5.7,0.279,0.754
G7620,15.09,0.147,0.816
G7621,39.08,-0.006,0.99
G7622,133.12,0.06,0.867
G7623,94.16,0.372,0.334
G7624,5.14,0.818,0.377
G7625,327.93,-0.254,0.41
G7626,9.89,0.017,0.981
G7627,22.08,0.318,0.57
G7628,69.8,-0.246,0.55
G7629,533.77,0.171,0.554
G7630,105.57,-0.796,0.0341
G7631,408,-0.598,0.0457
G7632,4.02,-0.582,0.568
G7633,332.81,0.078,0.8
G7634,72.32,-2.273,2.56e-08
G7635,5.86,0.937,0.288
G7636,8.95,0.499,0.509
G7637,4.34,-1.493,0.131
G7638,7.21,-0.004,0.996
G7639,264.24,0.696,0.0288
G7640,156.09,-0.767,0.0276
G7641,288.79,0.256,0.415
G7642,109.02,0.738,0.048
G7643,308.49,-0.515,0.0978
G7644,12.44,-0.798,0.236
G7645,2913.32,-0.009,0.971
G7646,34.23,-0.785,0.112
G7647,549.6,0.628,0.0294
G7648,434.4,-0.166,0.576
G7649,5.14,-1.561,0.0918
G7650,19.63,0.385,0.508
G7651,306.82,0.941,0.00251
G7652,40.9,0.645,0.17
G7653,31.95,0.833,0.0978
G7654,22.13,1.55,0.00565
G7655,125.53,-0.252,0.487
G7656,67.21,0.077,0.853
G7657,34.22,1.402,0.0045
G7658,58.74,-2.459,9.75e-09
G7659,5.88,1.402,0.111
G7660,11.68,-0.179,0.795
G7661,34.6,-0.383,0.436
G7662,4.92,0.849,0.367
G7663,8.21,1.357,0.0813
G7664,36.82,-0.091,0.851
G7665,81.05,-0.003,0.994
G7666,40.97,0.739,0.116
G7667,1184.89,0.153,0.566
G7668,143.83,0.522,0.14
G7669,318.62,0.119,0.701
G7670,74.68,-0.337,0.406
G7671,496.12,-0.332,0.255
G7672,26.95,-0.507,0.337
G7673,161.31,0.013,0.97
G7674,33.35,-0.665,0.181
G7675,7.83,0.34,0.668
G7676,4.65,-0.688,0.474
G7677,36.27,-0.119,0.806
G7678,183.75,0.333,0.325
G7679,8.12,-0.24,0.759
G7680,32.57,-0.069,0.89
G7681,100.62,-0.428,0.259
G7682,121.53,-0.144,0.693
G7683,547.75,-0.146,0.613
G7684,14.33,-0.239,0.71
G7685,109.54,0.068,0.855
G7686,173.21,0.439,0.199
G7687,17.18,0.318,0.6
G7688,416.17,0.101,0.735
G7689,30.38,-0.287,0.574
G7690,76.4,0.579,0.151
G7691,84.04,-1.643,3.12e-05
G7692,977.54,0.08,0.768
G7693,8.88,0.325,0.668
G7694,11.86,0.072,0.916
G7695,193.4,0.199,0.553
G7696,158.8,-0.281,0.418
G7697,331.03,-0.425,0.168
